# Official IANA Time Zone Database (zone1970.tab)
# Format: code coordinates TZ comments
XX	+0000+00000	America/Mazatlan
XX	+0000+00000	America/Mendoza
XX	+0000+00000	America/Menominee
XX	+0000+00000	America/Merida
XX	+0000+00000	America/Metlakatla
XX	+0000+00000	America/Mexico_City
XX	+0000+00000	America/Miquelon
XX	+0000+00000	America/Moncton
XX	+0000+00000	America/Monterrey
XX	+0000+00000	America/Montevideo
XX	+0000+00000	America/Montserrat
XX	+0000+00000	America/Nassau
XX	+0000+00000	America/New_York
XX	+0000+00000	America/Nome
XX	+0000+00000	America/Noronha
XX	+0000+00000	America/North_Dakota/Beulah
XX	+0000+00000	America/North_Dakota/Center
XX	+0000+00000	America/North_Dakota/New_Salem
XX	+0000+00000	America/Ojinaga
XX	+0000+00000	America/Panama
XX	+0000+00000	America/Paramaribo
XX	+0000+00000	America/Phoenix
XX	+0000+00000	America/Port-au-Prince
XX	+0000+00000	America/Port_of_Spain
XX	+0000+00000	America/Porto_Velho
XX	+0000+00000	America/Puerto_Rico
XX	+0000+00000	America/Punta_Arenas
XX	+0000+00000	America/Rankin_Inlet
XX	+0000+00000	America/Recife
XX	+0000+00000	America/Regina
XX	+0000+00000	America/Resolute
XX	+0000+00000	America/Rio_Branco
XX	+0000+00000	America/Santarem
XX	+0000+00000	America/Santiago
XX	+0000+00000	America/Santo_Domingo
XX	+0000+00000	America/Sao_Paulo
XX	+0000+00000	America/Scoresbysund
XX	+0000+00000	America/Sitka
XX	+0000+00000	America/St_Barthelemy
XX	+0000+00000	America/St_Johns
XX	+0000+00000	America/St_Kitts
XX	+0000+00000	America/St_Lucia
XX	+0000+00000	America/St_Thomas
XX	+0000+00000	America/St_Vincent
XX	+0000+00000	America/Swift_Current
XX	+0000+00000	America/Tegucigalpa
XX	+0000+00000	America/Thule
XX	+0000+00000	America/Tijuana
XX	+0000+00000	America/Toronto
XX	+0000+00000	America/Tortola
XX	+0000+00000	America/Vancouver
XX	+0000+00000	America/Whitehorse
XX	+0000+00000	America/Winnipeg
XX	+0000+00000	America/Yakutat
XX	+0000+00000	Antarctica/Casey
XX	+0000+00000	Antarctica/Davis
XX	+0000+00000	Antarctica/DumontDUrville
XX	+0000+00000	Antarctica/Macquarie
XX	+0000+00000	Antarctica/Mawson
XX	+0000+00000	Antarctica/McMurdo
XX	+0000+00000	Antarctica/Palmer
XX	+0000+00000	Antarctica/Rothera
XX	+0000+00000	Antarctica/Syowa
XX	+0000+00000	Antarctica/Troll
XX	+0000+00000	Antarctica/Vostok
XX	+0000+00000	Arctic/Longyearbyen
XX	+0000+00000	Asia/Aden
XX	+0000+00000	Asia/Almaty
XX	+0000+00000	Asia/Amman
XX	+0000+00000	Asia/Anadyr
XX	+0000+00000	Asia/Aqtau
XX	+0000+00000	Asia/Aqtobe
XX	+0000+00000	Asia/Ashgabat
XX	+0000+00000	Asia/Atyrau
XX	+0000+00000	Asia/Baghdad
XX	+0000+00000	Asia/Bahrain
XX	+0000+00000	Asia/Baku
XX	+0000+00000	Asia/Bangkok
XX	+0000+00000	Asia/Barnaul
XX	+0000+00000	Asia/Beirut
XX	+0000+00000	Asia/Bishkek
XX	+0000+00000	Asia/Brunei
XX	+0000+00000	Asia/Calcutta
XX	+0000+00000	Asia/Chita
XX	+0000+00000	Asia/Colombo
XX	+0000+00000	Asia/Damascus
XX	+0000+00000	Asia/Dhaka
XX	+0000+00000	Asia/Dili
XX	+0000+00000	Asia/Dubai
XX	+0000+00000	Asia/Dushanbe
XX	+0000+00000	Asia/Famagusta
XX	+0000+00000	Asia/Gaza
XX	+0000+00000	Asia/Hebron
XX	+0000+00000	Asia/Hong_Kong
XX	+0000+00000	Asia/Hovd
XX	+0000+00000	Asia/Irkutsk
XX	+0000+00000	Asia/Jakarta
XX	+0000+00000	Asia/Jayapura
XX	+0000+00000	Asia/Jerusalem
XX	+0000+00000	Asia/Kabul
XX	+0000+00000	Asia/Kamchatka
XX	+0000+00000	Asia/Karachi
XX	+0000+00000	Asia/Katmandu
XX	+0000+00000	Asia/Khandyga
XX	+0000+00000	Asia/Krasnoyarsk
XX	+0000+00000	Asia/Kuala_Lumpur
XX	+0000+00000	Asia/Kuching
XX	+0000+00000	Asia/Kuwait
XX	+0000+00000	Asia/Macau
XX	+0000+00000	Asia/Magadan
XX	+0000+00000	Asia/Makassar
XX	+0000+00000	Asia/Manila
XX	+0000+00000	Asia/Muscat
XX	+0000+00000	Asia/Nicosia
XX	+0000+00000	Asia/Novokuznetsk
XX	+0000+00000	Asia/Novosibirsk
XX	+0000+00000	Asia/Omsk
XX	+0000+00000	Asia/Oral
XX	+0000+00000	Asia/Phnom_Penh
XX	+0000+00000	Asia/Pontianak
XX	+0000+00000	Asia/Pyongyang
XX	+0000+00000	Asia/Qatar
XX	+0000+00000	Asia/Qostanay
XX	+0000+00000	Asia/Qyzylorda
XX	+0000+00000	Asia/Rangoon
XX	+0000+00000	Asia/Riyadh
XX	+0000+00000	Asia/Saigon
XX	+0000+00000	Asia/Sakhalin
XX	+0000+00000	Asia/Samarkand
XX	+0000+00000	Asia/Seoul
XX	+0000+00000	Asia/Shanghai
XX	+0000+00000	Asia/Singapore
XX	+0000+00000	Asia/Srednekolymsk
XX	+0000+00000	Asia/Taipei
XX	+0000+00000	Asia/Tashkent
XX	+0000+00000	Asia/Tbilisi
XX	+0000+00000	Asia/Tehran
XX	+0000+00000	Asia/Thimphu
XX	+0000+00000	Asia/Tokyo
XX	+0000+00000	Asia/Tomsk
XX	+0000+00000	Asia/Ulaanbaatar
XX	+0000+00000	Asia/Urumqi
XX	+0000+00000	Asia/Ust-Nera
XX	+0000+00000	Asia/Vientiane
XX	+0000+00000	Asia/Vladivostok
XX	+0000+00000	Asia/Yakutsk
XX	+0000+00000	Asia/Yekaterinburg
XX	+0000+00000	Asia/Yerevan
XX	+0000+00000	Atlantic/Azores
XX	+0000+00000	Atlantic/Bermuda
XX	+0000+00000	Atlantic/Canary
XX	+0000+00000	Atlantic/Cape_Verde
XX	+0000+00000	Atlantic/Faeroe
XX	+0000+00000	Atlantic/Madeira
XX	+0000+00000	Atlantic/Reykjavik
XX	+0000+00000	Atlantic/South_Georgia
XX	+0000+00000	Atlantic/St_Helena
XX	+0000+00000	Atlantic/Stanley
XX	+0000+00000	Australia/Adelaide
XX	+0000+00000	Australia/Brisbane
XX	+0000+00000	Australia/Broken_Hill
XX	+0000+00000	Australia/Darwin
XX	+0000+00000	Australia/Eucla
XX	+0000+00000	Australia/Hobart
XX	+0000+00000	Australia/Lindeman
XX	+0000+00000	Australia/Lord_Howe
XX	+0000+00000	Australia/Melbourne
XX	+0000+00000	Australia/Perth
XX	+0000+00000	Australia/Sydney
XX	+0000+00000	Europe/Amsterdam
XX	+0000+00000	Europe/Andorra
XX	+0000+00000	Europe/Astrakhan
XX	+0000+00000	Europe/Athens
XX	+0000+00000	Europe/Belgrade
XX	+0000+00000	Europe/Berlin
XX	+0000+00000	Europe/Bratislava
XX	+0000+00000	Europe/Brussels
XX	+0000+00000	Europe/Bucharest
XX	+0000+00000	Europe/Budapest
XX	+0000+00000	Europe/Busingen
XX	+0000+00000	Europe/Chisinau
XX	+0000+00000	Europe/Copenhagen
XX	+0000+00000	Europe/Dublin
XX	+0000+00000	Europe/Gibraltar
XX	+0000+00000	Europe/Guernsey
XX	+0000+00000	Europe/Helsinki
XX	+0000+00000	Europe/Isle_of_Man
XX	+0000+00000	Europe/Istanbul
XX	+0000+00000	Europe/Jersey
XX	+0000+00000	Europe/Kaliningrad
XX	+0000+00000	Europe/Kiev
XX	+0000+00000	Europe/Kirov
XX	+0000+00000	Europe/Lisbon
XX	+0000+00000	Europe/Ljubljana
XX	+0000+00000	Europe/London
XX	+0000+00000	Europe/Luxembourg
XX	+0000+00000	Europe/Madrid
XX	+0000+00000	Europe/Malta
XX	+0000+00000	Europe/Mariehamn
XX	+0000+00000	Europe/Minsk
XX	+0000+00000	Europe/Monaco
XX	+0000+00000	Europe/Moscow
XX	+0000+00000	Europe/Oslo
XX	+0000+00000	Europe/Paris
XX	+0000+00000	Europe/Podgorica
XX	+0000+00000	Europe/Prague
XX	+0000+00000	Europe/Riga
XX	+0000+00000	Europe/Rome
XX	+0000+00000	Europe/Samara
XX	+0000+00000	Europe/San_Marino
XX	+0000+00000	Europe/Sarajevo
XX	+0000+00000	Europe/Saratov
XX	+0000+00000	Europe/Simferopol
XX	+0000+00000	Europe/Skopje
XX	+0000+00000	Europe/Sofia
XX	+0000+00000	Europe/Stockholm
XX	+0000+00000	Europe/Tallinn
XX	+0000+00000	Europe/Tirane
XX	+0000+00000	Europe/Ulyanovsk
XX	+0000+00000	Europe/Vaduz
XX	+0000+00000	Europe/Vatican
XX	+0000+00000	Europe/Vienna
XX	+0000+00000	Europe/Vilnius
XX	+0000+00000	Europe/Volgograd
XX	+0000+00000	Europe/Warsaw
XX	+0000+00000	Europe/Zagreb
XX	+0000+00000	Europe/Zurich
XX	+0000+00000	Indian/Antananarivo
XX	+0000+00000	Indian/Chagos
XX	+0000+00000	Indian/Christmas
XX	+0000+00000	Indian/Cocos
XX	+0000+00000	Indian/Comoro
XX	+0000+00000	Indian/Kerguelen
XX	+0000+00000	Indian/Mahe
XX	+0000+00000	Indian/Maldives
XX	+0000+00000	Indian/Mauritius
XX	+0000+00000	Indian/Mayotte
XX	+0000+00000	Indian/Reunion
XX	+0000+00000	Pacific/Apia
XX	+0000+00000	Pacific/Auckland
XX	+0000+00000	Pacific/Bougainville
XX	+0000+00000	Pacific/Chatham
XX	+0000+00000	Pacific/Easter
XX	+0000+00000	Pacific/Efate
XX	+0000+00000	Pacific/Enderbury
XX	+0000+00000	Pacific/Fakaofo
XX	+0000+00000	Pacific/Fiji
XX	+0000+00000	Pacific/Funafuti
XX	+0000+00000	Pacific/Galapagos
XX	+0000+00000	Pacific/Gambier
XX	+0000+00000	Pacific/Guadalcanal
XX	+0000+00000	Pacific/Guam
XX	+0000+00000	Pacific/Honolulu
XX	+0000+00000	Pacific/Kiritimati
XX	+0000+00000	Pacific/Kosrae
XX	+0000+00000	Pacific/Kwajalein
XX	+0000+00000	Pacific/Majuro
XX	+0000+00000	Pacific/Marquesas
XX	+0000+00000	Pacific/Midway
XX	+0000+00000	Pacific/Nauru
XX	+0000+00000	Pacific/Niue
XX	+0000+00000	Pacific/Norfolk
XX	+0000+00000	Pacific/Noumea
XX	+0000+00000	Pacific/Pago_Pago
XX	+0000+00000	Pacific/Palau
XX	+0000+00000	Pacific/Pitcairn
XX	+0000+00000	Pacific/Ponape
XX	+0000+00000	Pacific/Port_Moresby
XX	+0000+00000	Pacific/Rarotonga
XX	+0000+00000	Pacific/Saipan
XX	+0000+00000	Pacific/Tahiti
XX	+0000+00000	Pacific/Tarawa
XX	+0000+00000	Pacific/Tongatapu
XX	+0000+00000	Pacific/Truk
XX	+0000+00000	Pacific/Wake
XX	+0000+00000	Pacific/Wallis
